review,rating,date,review_length,bank,source
Good apps ...But fix the screenshot its not easy like before ......,5,2025-03-29,67,CBE,Google Play Store
l love it,5,2025-03-29,9,CBE,Google Play Store
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,496,CBE,Google Play Store
in this update why screenshoot is disabled now it's not working,1,2025-03-28,63,CBE,Google Play Store
"realy I donot seen like this application ! fast ,safe ande confortable",5,2025-03-28,70,CBE,Google Play Store
Excellent but needed upgrading!,5,2025-03-28,31,CBE,Google Play Store
goods app!! pleace update this apps??,4,2025-03-28,37,CBE,Google Play Store
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,179,CBE,Google Play Store
Fantastic app! I appreciate it very much,5,2025-03-27,40,CBE,Google Play Store
Convenient app,5,2025-03-27,14,CBE,Google Play Store
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,318,CBE,Google Play Store
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,158,CBE,Google Play Store
why why u remove screen shoot😡😡,2,2025-03-26,31,CBE,Google Play Store
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,122,CBE,Google Play Store
very nice one,5,2025-03-26,13,CBE,Google Play Store
good application,5,2025-03-25,16,CBE,Google Play Store
problem solver and the best fast app,5,2025-03-25,36,CBE,Google Play Store
ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,5,2025-03-25,55,CBE,Google Play Store
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,147,CBE,Google Play Store
you must added dark mode options ❗,3,2025-03-25,34,CBE,Google Play Store
Thank you,5,2025-03-25,9,CBE,Google Play Store
cbe,5,2025-03-25,3,CBE,Google Play Store
ممتاز جدا جدا,5,2025-03-24,13,CBE,Google Play Store
very nice and convenient app,5,2025-03-24,28,CBE,Google Play Store
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,90,CBE,Google Play Store
👍👍👍,5,2025-03-24,3,CBE,Google Play Store
Great experience so far but why this app ain't working while developer mode is on?,4,2025-03-24,82,CBE,Google Play Store
why did the screen shot stopped ?????,3,2025-03-24,37,CBE,Google Play Store
it's genuine app..,5,2025-03-24,18,CBE,Google Play Store
okay 👌👍,5,2025-03-24,7,CBE,Google Play Store
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,78,CBE,Google Play Store
commercial dank...,5,2025-03-23,18,CBE,Google Play Store
it's very good,5,2025-03-23,14,CBE,Google Play Store
to getting money,5,2025-03-23,16,CBE,Google Play Store
some times it is difficult to get reciepts for the payment made,1,2025-03-23,63,CBE,Google Play Store
this app is best,1,2025-03-23,16,CBE,Google Play Store
it's very useful,5,2025-03-23,16,CBE,Google Play Store
best app and update more features *****,5,2025-03-23,39,CBE,Google Play Store
best app for this vast digital finanical word,5,2025-03-23,45,CBE,Google Play Store
this app is my favorite application,5,2025-03-23,35,CBE,Google Play Store
Hooo I love this application,5,2025-03-22,28,CBE,Google Play Store
The app protects me from screenshot after update. Please make revision on the app.,4,2025-03-22,82,CBE,Google Play Store
Screenshot or slip not working,2,2025-03-22,30,CBE,Google Play Store
thank you for help,5,2025-03-22,18,CBE,Google Play Store
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,222,CBE,Google Play Store
Thise is helpfull and have good and easy for mobile money usage in ethiopia,5,2025-03-22,75,CBE,Google Play Store
thank you,5,2025-03-22,9,CBE,Google Play Store
good app.,5,2025-03-22,9,CBE,Google Play Store
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,281,CBE,Google Play Store
