review,rating,date,review_length,bank,source
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,350,CBE,Google Play Store
customer service is bad nothing is good about this bank,1,2025-05-13,55,CBE,Google Play Store
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,85,CBE,Google Play Store
fast and simple easy to use 👌,5,2025-05-12,29,CBE,Google Play Store
The fastest transferring app I ever had its so reliable,5,2025-05-11,55,CBE,Google Play Store
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,121,CBE,Google Play Store
it's easy and fast,5,2025-05-10,18,CBE,Google Play Store
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,91,CBE,Google Play Store
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,113,CBE,Google Play Store
wow best application ever,5,2025-05-09,25,CBE,Google Play Store
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,141,CBE,Google Play Store
the pride of Ethiopian bank 🏦,5,2025-05-08,29,CBE,Google Play Store
why the app telling me to turn of developer options please fix it.,1,2025-05-07,66,CBE,Google Play Store
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,98,CBE,Google Play Store
amazing apps,5,2025-05-06,12,CBE,Google Play Store
All service of Mobile Banking,5,2025-05-06,29,CBE,Google Play Store
needs improvement,1,2025-05-06,17,CBE,Google Play Store
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,58,CBE,Google Play Store
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,290,CBE,Google Play Store
good but these week not oky,4,2025-05-06,27,CBE,Google Play Store
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,87,CBE,Google Play Store
